Constraint,Iteration,Duration
1,0,1.2474994659423828
1,1,1.2528502941131592
1,2,1.2732534408569336
1,3,1.2843306064605713
1,4,1.231452226638794
1,5,1.2739202976226807
1,6,1.2613506317138672
1,7,1.286144733428955
1,8,1.2586634159088135
1,9,1.2791171073913574
1,10,1.2581663131713867
1,11,1.254429817199707
1,12,1.2662250995635986
1,13,1.236954689025879
1,14,1.186046838760376
1,15,1.1986925601959229
1,16,1.1932775974273682
1,17,1.20371413230896
1,18,1.248692512512207
1,19,1.2414944171905518
1,20,1.230207920074463
1,21,1.2211096286773682
1,22,1.153810739517212
1,23,1.1555347442626953
1,24,1.1523423194885254
1,25,1.140523910522461
1,26,1.1789977550506592
1,27,1.1508450508117676
1,28,1.1442127227783203
1,29,1.1614184379577637
1,30,1.146026372909546
1,31,1.137622594833374
1,32,1.1685359477996826
1,33,1.1454825401306152
1,34,1.133028507232666
1,35,1.1071300506591797
1,36,1.1177539825439453
1,37,1.1494193077087402
1,38,1.157688856124878
1,39,1.1206307411193848
1,40,1.1396009922027588
1,41,1.151071548461914
1,42,1.1368937492370605
1,43,1.1209542751312256
1,44,1.1257266998291016
1,45,1.0896050930023193
1,46,1.0760924816131592
1,47,1.0797688961029053
1,48,1.1471664905548096
1,49,1.1309502124786377
1,50,1.1380321979522705
1,51,1.1171574592590332
1,52,1.1110267639160156
1,53,1.1035194396972656
1,54,1.1514945030212402
1,55,1.2793855667114258
1,56,1.1246562004089355
1,57,1.118544340133667
1,58,1.1035759449005127
1,59,1.1335089206695557
1,60,1.1401255130767822
1,61,1.1692790985107422
1,62,1.1512656211853027
1,63,1.123765230178833
1,64,1.097104787826538
1,65,1.1224875450134277
1,66,1.1607615947723389
1,67,1.139240026473999
1,68,1.1514954566955566
1,69,1.1321382522583008
1,70,1.137990951538086
1,71,1.125736951828003
1,72,1.1361160278320312
1,73,1.1160476207733154
1,74,1.1358442306518555
1,75,1.1307718753814697
1,76,1.1262621879577637
1,77,1.114333152770996
1,78,1.153313398361206
1,79,1.1510663032531738
1,80,1.195704460144043
1,81,1.2996044158935547
1,82,1.1513729095458984
1,83,1.1464488506317139
1,84,1.126403570175171
1,85,1.173924207687378
1,86,1.1646926403045654
1,87,1.1518115997314453
1,88,1.1584303379058838
1,89,1.1596019268035889
1,90,1.168992042541504
1,91,1.1582448482513428
1,92,1.1401340961456299
1,93,1.1601221561431885
1,94,1.2047290802001953
1,95,1.164334774017334
1,96,1.1590993404388428
1,97,1.1692578792572021
1,98,1.145221471786499
1,99,1.165618896484375
2,0,0.4388556480407715
2,1,0.435011625289917
2,2,0.43457698822021484
2,3,0.42992329597473145
2,4,0.4456808567047119
2,5,0.43979358673095703
2,6,0.4553563594818115
2,7,0.43598198890686035
2,8,0.43444275856018066
2,9,0.4442160129547119
2,10,0.43633151054382324
2,11,0.4435718059539795
2,12,0.4423360824584961
2,13,0.44639134407043457
2,14,0.44710564613342285
2,15,0.442960262298584
2,16,0.44450926780700684
2,17,0.45336484909057617
2,18,0.4408993721008301
2,19,0.4427366256713867
2,20,0.443605899810791
2,21,0.4421074390411377
2,22,0.44446730613708496
2,23,0.44367408752441406
2,24,0.44588398933410645
2,25,0.4453132152557373
2,26,0.45471644401550293
2,27,0.44265246391296387
2,28,0.4558537006378174
2,29,0.4586939811706543
2,30,0.43029332160949707
2,31,0.42882513999938965
2,32,0.44013357162475586
2,33,0.4468364715576172
2,34,0.4527015686035156
2,35,0.44600439071655273
2,36,0.4449141025543213
2,37,0.44298887252807617
2,38,0.4530172348022461
2,39,0.4312288761138916
2,40,0.43942809104919434
2,41,0.44031238555908203
2,42,0.44139528274536133
2,43,0.4533565044403076
2,44,0.44419121742248535
2,45,0.44664764404296875
2,46,0.4407639503479004
2,47,0.4444737434387207
2,48,0.4431488513946533
2,49,0.44512248039245605
2,50,0.44632863998413086
2,51,0.44931960105895996
2,52,0.44818925857543945
2,53,0.5902292728424072
2,54,0.4463019371032715
2,55,0.44335317611694336
2,56,0.44687581062316895
2,57,0.4497849941253662
2,58,0.4386434555053711
2,59,0.44060730934143066
2,60,0.4452993869781494
2,61,0.4503941535949707
2,62,0.4466063976287842
2,63,0.4469871520996094
2,64,0.4544105529785156
2,65,0.45375704765319824
2,66,0.4501826763153076
2,67,0.4748210906982422
2,68,0.4476320743560791
2,69,0.45947957038879395
2,70,0.4500248432159424
2,71,0.4502544403076172
2,72,0.4522383213043213
2,73,0.4537172317504883
2,74,0.4543297290802002
2,75,0.4514753818511963
2,76,0.4470977783203125
2,77,0.4469470977783203
2,78,0.44914841651916504
2,79,0.4535088539123535
2,80,0.45190000534057617
2,81,0.4441640377044678
2,82,0.44516992568969727
2,83,0.45988988876342773
2,84,0.44567203521728516
2,85,0.44205403327941895
2,86,0.4393279552459717
2,87,0.4445059299468994
2,88,0.4410688877105713
2,89,0.44760990142822266
2,90,0.444382905960083
2,91,0.45082592964172363
2,92,0.4420444965362549
2,93,0.4492347240447998
2,94,0.45195984840393066
2,95,0.4523437023162842
2,96,0.4549126625061035
2,97,0.4505646228790283
2,98,0.43563413619995117
2,99,0.43767547607421875
3,0,0.37064313888549805
3,1,0.37216973304748535
3,2,0.37274932861328125
3,3,0.3732485771179199
3,4,0.374786376953125
3,5,0.3717172145843506
3,6,0.3730192184448242
3,7,0.3790757656097412
3,8,0.37120509147644043
3,9,0.374722957611084
3,10,0.37033629417419434
3,11,0.37417006492614746
3,12,0.3912031650543213
3,13,0.37639880180358887
3,14,0.3780348300933838
3,15,0.3722066879272461
3,16,0.36910152435302734
3,17,0.3739011287689209
3,18,0.36415553092956543
3,19,0.37239623069763184
3,20,0.37571263313293457
3,21,0.370380163192749
3,22,0.38224291801452637
3,23,0.37890625
3,24,0.3729419708251953
3,25,0.37421703338623047
3,26,0.3690776824951172
3,27,0.3705275058746338
3,28,0.36910128593444824
3,29,0.37521934509277344
3,30,0.3772280216217041
3,31,0.3726539611816406
3,32,0.3711273670196533
3,33,0.37292909622192383
3,34,0.36731743812561035
3,35,0.3784444332122803
3,36,0.36867499351501465
3,37,0.37149882316589355
3,38,0.37491846084594727
3,39,0.3848860263824463
3,40,0.3699650764465332
3,41,0.37654829025268555
3,42,0.37552928924560547
3,43,0.37144947052001953
3,44,0.37079572677612305
3,45,0.3712160587310791
3,46,0.3747711181640625
3,47,0.36852145195007324
3,48,0.377565860748291
